1234567890,,100
通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
117.329,108.25,103.367,112.16,110.062,109.947,117.138,108.803,109.28,116.261,105.77,105.77,104.511,108.631,10.536,8.572
101.936,109.604,105.598,116.394,99.342,107.735,113.056,109.642,104.149,116.547,105.274,114.964,113.094,115.517,1.343,4.128
107.372,115.192,100.124,107.582,104.874,103.004,109.108,103.405,105.408,113.171,113.552,121.83,116.489,122.097,3.803,7.732
107.067,100.105,107.582,106.419,101.746,103.443,110.996,108.44,109.299,115.936,111.568,114.639,117.157,115.173,6.569,-0.107
107.487,103.462,103.977,103.748,108.25,104.206,115.421,116.127,112.598,116.432,106.915,109.356,107.315,109.642,2.907,8.018
100.506,102.146,102.795,114.315,96.558,105.16,117.29,113.552,110.348,116.089,105.713,106.857,110.004,109.528,6.016,2.64
106.266,105.827,99.667,122.269,105.713,106.705,112.904,109.489,110.195,112.827,103.786,112.465,108.555,108.135,1.591,10.04
100.601,120.247,112.713,109.222,104.53,104.378,109.241,105.083,104.359,113.914,105.255,109.451,110.462,110.424,-5.619,14.847
110.634,114.773,108.078,114.887,106.934,101.917,109.89,106.991,103.157,111.111,102.68,110.958,110.367,109.642,12.463,1.934
108.517,109.394,114.773,108.25,105.846,106.075,113.667,106.857,105.217,112.408,107.086,107.391,104.893,108.059,2.602,6.931
110.367,104.435,111.893,110.806,109.013,108.765,117.901,109.985,101.135,122.917,107.449,103.386,107.754,108.459,8.533,2.01
104.607,113.247,103.863,110.806,104.874,105.37,116.47,109.127,107.353,116.737,109.947,108.402,112.427,114.62,6.512,7.141
109.337,108.593,108.135,115.326,94.936,106.915,116.203,108.364,103.634,114.315,117.691,116.013,120.705,115.784,2.525,6.454
102.852,115.574,99.857,107.143,115.65,103.729,114.658,108.707,109.489,118.855,114.296,116.28,112.064,111.778,1.915,8.514
96.863,103.024,112.198,104.397,101.822,103.634,120.514,111.435,104.588,117.71,111.378,114.143,111.626,113.285,7.408,6.054
116.051,104.511,100.792,103.195,105.503,106.667,118.473,114.487,119.751,118.492,106.552,110.958,109.928,114.544,16.029,2.506
103.729,94.631,107.162,111.111,98.579,106.056,115.421,107.468,106.533,115.211,100.372,101.402,111.111,113.247,5.215,2.831
112.064,116.833,122.593,103.71,103.634,104.912,110.767,103.767,103.348,112.846,110.882,111.034,118.13,113.228,5.939,9.888
112.064,112.617,112.103,111.626,108.269,120.59,132.664,109.146,98.064,112.045,106.133,107.677,105.885,106.075,-1.747,-6.802
103.863,112.274,105.103,110.462,122.326,101.173,108.707,115.574,105.503,117.481,103.844,104.95,96.901,105.56,15.4,12.634
92.953,114.639,117.119,105.37,102.699,105.98,116.261,103.329,91.446,138.481,123.756,111.778,96.748,110.844,7.98,6.054
122.002,108.059,129.421,115.383,100.601,102.242,104.988,94.498,108.459,122.536,109.985,113.361,136.707,119.808,14.961,8.343
99.857,106.876,120.171,106.781,97.13,97.073,109.165,112.942,104.836,130.394,108.116,127.113,127.342,124.863,-10.502,4.452
93.239,105.77,103.901,116.928,94.021,100.487,113.914,107.697,110.806,98.808,113.609,104.321,112.77,110.844,10.88,15.152
125.492,104.721,102.261,114.029,102.299,110.729,117.405,99.781,129.059,123.642,108.44,84.37,112.236,98.713,-1.9,6.836
101.383,101.135,88.699,114.487,103.577,114.315,122.383,109.337,103.214,126.789,97.187,113.247,112.77,103.386,14.675,4.395
110.023,106.113,112.503,97.95,114.029,100.716,113.152,104.95,105.999,112.98,107.124,112.56,100.353,81.547,4.738,4.051
123.814,105.198,120.667,114.143,95.852,101.421,137.394,109.985,106.228,111.301,108.765,111.626,106.972,109.661,1.953,5.787
112.37,124.195,105.179,112.064,106.094,102.28,112.236,100.773,125.206,122.955,105.198,105.446,102.985,108.307,12.119,-1.69
115.726,119.427,109.184,118.378,102.184,109.966,118.359,112.083,121.372,102.985,123.718,88.375,107.849,104.912,1.19,8.114
116.795,101.955,110.901,106.953,111.244,108.288,113.724,111.282,104.206,111.111,89.539,95.585,115.784,110.348,5.882,9.354
101.25,106.686,104.282,115.746,109.299,112.808,110.806,105.713,108.612,121.696,107.792,106.686,116.47,128.696,12.138,2.048
113.266,107.62,108.879,114.887,114.334,105.865,91.37,91.846,107.391,119.16,114.868,112.637,103.653,102.489,8.495,1.362
95.051,100.964,109.451,99.075,102.776,99.628,118.492,109.013,104.111,120.609,110.901,112.675,111.549,110.939,4.776,3.384
102.375,111.359,87.002,114.315,105.808,113.991,116.833,112.713,113.361,116.623,99.934,107.658,103.214,113.914,1.61,11.127
95.661,108.65,104.168,114.296,93.678,110.844,117.138,96.577,105.217,118.034,82.977,111.301,117.596,108.555,-4.589,9.43
106.075,109.947,105.179,123.032,108.86,103.901,102.795,105.827,106.419,118.664,111.855,110.519,98.064,110.424,4.719,0.294
111.893,105.255,110.538,121.525,109.013,88.337,110.958,91.98,104.759,114.925,96.691,109.413,97.549,109.108,14.484,4.776
112.827,111.702,118.607,120.171,108.593,112.522,118.301,130.795,105.885,121.22,102.299,97.816,109.28,106.4,8.648,-1.041
89.214,113.686,113.628,116.871,110.5,92.838,113.647,116.184,108.002,121.429,101.345,104.721,93.105,95.07,-3.33,7.256
105.618,104.702,117.615,130.718,88.909,87.593,118.835,104.797,109.661,114.315,105.77,128.067,120.304,113.552,2.85,2.125
107.449,102.585,102.451,119.637,98.198,103.786,120.094,114.544,108.269,115.612,111.397,117.691,116.833,112.408,16.087,-6.306
107.811,114.143,111.034,103.405,100.029,102.528,103.443,103.233,115.784,118.149,110.1,115.192,117.653,116.795,-6.535,15.038
109.203,101.765,102.661,105.618,107.735,103.271,115.021,112.35,109.47,118.263,108.097,112.141,111.359,114.582,12.539,1.762
99.113,101.555,106.8,111.759,99.972,110.176,115.86,111.969,111.511,115.936,107.716,109.413,107.162,111.244,2.983,2.602
107.105,104.263,102.184,122.688,104.626,107.792,116.871,112.865,102.165,110.577,113.132,108.707,102.833,111.874,5.959,8.648
98.007,113.285,109.604,111.549,103.233,105.37,110.806,107.887,103.195,115.002,111.301,108.784,109.146,111.778,0.122,8.953
112.446,112.713,107.983,114.487,92.648,104.359,114.086,105.446,104.988,110.252,109.184,112.865,110.519,110.424,4.967,5.92
110.5,117.92,104.797,107.239,117.443,108.059,112.331,106.705,103.5,112.274,105.77,105.77,103.786,105.064,1.61,10.403
96.024,116.623,113.361,110.233,107.01,111.168,115.822,109.146,106.457,111.034,105.083,107.487,105.961,106.438,-3.139,3.803
116.661,106.533,106.571,109.604,109.871,107.773,118.645,109.737,105.675,114.811,106.915,109.241,107.964,105.637,11.623,2.048
